"name","roaster","roaster_country","roast","rating","review"
"Kivu DR Congo","JBC Coffee Roasters","United States","Medium-Light",94,"High-toned, balanced, crisply sweet. Apricot, tangerine zest, dark chocolate, honey, rhododendron in aroma and cup. Sweet-tart structure with juicy, bright acidity; buoyant, syrupy mouthfeel. The rich finish is centered around notes of dark chocolate and tangerine zest, with vanilla-toned florals. A richly sweet, elegantly composed Bourbon cup from the Democratic Republic of the Congo; multi-layered and deeply engaging."
"Ethiopia Yirgacheffe Awassa","Paradise Roasters","United States","Medium-Light",93,"Bright, crisply sweet, chocolaty. Lemon blossom, nougat, roasted cacao nib, pomegranate, violet in aroma and cup. Balanced, sweetly tart structure with juicy, bright acidity; satiny-smooth mouthfeel. The resonant finish centers around cocoa and lightly-expressed citrus notes.  A high-toned, juicy Yirgacheffe cup, classic in its balance of bright fruit, sweet floral and cocoa tones."
"Panama Ninety Plus Perci Lot 50","Bird Rock Coffee Roasters","United States","Medium-Light",97,"Wild, unruly, utterly brilliant and original. Intensely and intricately floral-toned: opulent lily through delicate violet with a shifting bouquet of possibilities between. At the heart of aroma and flavor is a cidery, brandyish compote of fruit--apple, passion fruit, lychee--rounded by a fine, cocoa-toned chocolate. The structure is shifty, simultaneously sweet, crisply bitterish and tart, the mouthfeel plump and syrupy. The finish rings on with continuing layers of fruit, flowers, cocoa and coconut.    The grand floral and cocoa complexity of the Gesha variety is amplified here by an innovative processing method that turns mouthfeel big and buoyant and the fruit lush, intense and giddily brandy-toned."
"Colombia Sidra","Kaffetre","Taiwan","Medium-Light",94,"Floral-toned, richly sweet. Narcissus, roasted cacao nib, toffee, apricot, sandalwood in aroma and cup. Deeply sweet-tart structure with juicy, bright acidity; full, syrupy mouthfeel. Resonant finish centers around cocoa-toned narcissus and apricot. An engaging coffee from the unusual Sidra variety—rich, floral, balanced and bright."
"Colombia Geisha","Paradise Roasters","United States","Medium-Light",94,"Deep, richly sweet-savory. Black currant, fine musk, toffee, jasmine, celery seed in aroma and cup. Sweet-savory in structure with bright, juicy acidity; plush, syrupy mouthfeel. The flavor-saturated finish is equal parts sweet-leaning (black currant, toffee, jasmine) and savory (musk, celery seed).  A splendid Colombia Geisha: deep floral and fruit tones juxtaposed with underlying umami intrigue."
"Rwanda Kanzu","Dragonfly Coffee Roasters","United States","Medium-Light",94,"Spiced-toned, richly floral. Wisteria, sweet lime zest, date, white peppercorn, cocoa powder in aroma and cup. Sweet-tart structure with punchy acidity; crisp, lively, satiny mouthfeel. The short finish suggests a cannabis-like pungency, while cocoa and wisteria notes carry into the long. Big, characteristic Rwanda sweet-tartness juxtaposed with savory depth, with a supporting intrigue of spice, flowers and complex fruit."
"Ethiopia Kochere Natural","Dragonfly Coffee Roasters","United States","Medium-Light",94,"Richly bittersweet, complexly fruit-toned. Chocolate fudge, dried mulberry, candied pink grapefruit zest, pistachio brittle, wisteria-like flowers in aroma and cup. Deeply sweet structure with high-toned, lively acidity; velvety mouthfeel. The finish centers around notes of chocolate fudge and dried mulberry, with a pleasingly bittersweet pink grapefruit throughline.  A deeply satisfying, impeccably clean natural Ethiopia cup: a chocolate bomb lifted by pretty notes of dried berries and high-toned florals."
"Kenya Thirikwa Single-Origin Espresso","Temple Coffee Roasters","United States","Medium",94,"Evaluated as espresso. Floral-toned, sweetly roast-deep. Frangipane, chocolate fudge, black currant, jasmine, gently scorched cedar in aroma and small cup. Velvety-smooth mouthfeel; the rich, resonant finish centers around notes of black currant and jasmine with with hints of salted fudge. In three parts milk, chocolate and floral tones bloom richly, and black currant deepens. A deftly darker-roasted, rich-toned, confident Kenya espresso, classic in roast style, as well as in expression of its origin: bright, juicy, balanced, deep."
"Mocha Java Blend Fair Trade Organic","Thanksgiving Coffee Company","United States","Medium-Light",92,"Deep, chocolaty, cleanly fruit-toned. Dark chocolate, cedar, black cherry, magnolia, molasses in aroma and cup. Sweetly tart structure with gentle, rounded acidity. Consolidates to resonant chocolate and cherry in the finish. A balanced, richly sweet-tart Ethiopia-Sumatra blend that’s also fair trade and organic-certified."
"Sumatra Tano Batak","Origin Coffee Roasters","Hawai'i","Medium-Light",95,"Nuanced, layered, richly sweet-savory. Fine musk, wisteria-like flowers, dark chocolate, pipe tobacco, black cherry in aroma and cup. Balanced sweet-tart-savory structure with juicy, vibrant acidity; plush, syrupy mouthfeel. The finish is resonant, flavor-saturated, and impressively long. A classic Sumatra coffee: aromatically seductive, with deep florals and sweet fruit notes, supported by a fresh, foresty earthiness."
"Moonbow Decaf","Paradise Roasters","United States","Medium-Dark",92,"Richly and sweetly tart, chocolaty. Dark chocolate, hazelnut butter, lightly scorched cinnamon, date, fir in aroma and cup. Sweet in structure with gentle, rounded acidity; velvety mouthfeel. The chocolaty finish is complicated by date and hazelnut. A very impressive decaf, tested here for drip or other non-espresso applications: Sweet, balanced, cocoa-driven."
"Colombia La Guamera Honey","Origin Coffee Roasters","Hawai'i","Medium-Light",92,"Crisp, high-toned, richly sweet. Strawberry, cocoa powder, honeysuckle, cedar, cashew butter in aroma and cup. Sweet-tart structure with bright acidity; crisp, satiny mouthfeel. The finish consolidates to cocoa and honeysuckle with a throughline of rich, cedar-like aromatic wood. A deeply sweet, subtly fruit-toned cup processed by the honey method, unusual for coffees from Colombia."
"Moonbow Decaf Espresso","Paradise Roasters","United States","Medium-Dark",91,"Evaluated as espresso. Bright, sweetly tart. Cocoa powder, hazelnut, orange zest, pomegranate, fir in aroma and small cup. Crisp, lightly syrupy mouthfeel; sweet cocoa-toned finish. In three parts milk, cocoa notes are amplified, punctuated by orange zest and fir. A fine decaf espresso blend animated by tart fruit and bittersweet citrus zest notes, with a cocoa throughline."
"Ethiopia Yirgacheffe","Mystic Monk Coffee","United States","Medium",91,"Richly spice-toned, chocolaty. Dark chocolate, peppercorn medley, dried persimmon, gardenia, singed oak in aroma and cup. Sweet-toned structure with mild acidity; satiny, surprisingly full mouthfeel. Crisp, cocoa-laden finish with gardenia and persimmon as supporting undertones. A deftly darker-roasted Yirgacheffe cup centered around notes of dark chocolate and spicy florals, with a particularly satisfying mouthfeel."
"Rwanda Mushonyi Natural","Amavida Coffee Roasters","United States","Medium-Light",94,"Elegant, berry-toned, richly sweet. Blackberry coulis, elderflower, cacao nib, candycap mushroom, frankincense in aroma and cup. Sweet-tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Rich, resonant finish that leads with blackberry and frankincense in the short, rounding to floral-toned cocoa in the long. A fine Rwanda natural: clean, bright, juicy, mesmerizing."
"Rwanda Mushonyi","Amavida Coffee Roasters","United States","Medium-Light",91,"Crisp, deeply sweet. Cacao nib, honeysuckle, dried apricot, fresh-cut fir, agave syrup in aroma and cup. Sweet-tart structure with pert acidity; full, satiny mouthfeel. The richly drying finish centers around cocoa-toned date notes and sweetly pungent fir. A sweet-toned Rwanda cup with pretty floral and stone fruit notes throughout."
"Ethiopia Washed Kochere","Speedwell Coffee","United States","Medium-Light",92,"Bright, richly sweet. Jasmine, guava, pine nut, maple syrup, Nutella in aroma and cup. Sweet-toned structure with crisp, citrusy acidity; velvety-smooth mouthfeel. Floral-toned in the short finish, chocolaty in the long. A floral- and tropical fruit-toned wet-processed Ethiopia cup."
"Feku Double","Barrington Coffee Roasting","United States","Medium-Light",93,"Bright, crisp, sweetly tart. Apricot, almond, cocoa nib, cedar, honey in aroma and cup. Sweet-tart structure with juicy acidity; velvety mouthfeel. A quietly rich finish centers around apricot and honey, with cocoa nuance. A classic wet-processed Ethiopia cup: bright and vibrant, with leading notes of stone fruit and cocoa."
"Ethiopia Tadese Yonka","Gracenote Coffee Roasters","United States","Medium-Light",93,"Fruit-centered, crisply sweet. Bing cherry, magnolia, oak, agave syrup, baker’s chocolate in aroma and cup. Sweet-toned structure with gentle acidity; satiny, full mouthfeel. The short finish leads with notes of cherry and baker’s chocolate, rounding to deep, low-toned flowers in the long. A distinctive wet-processed Ethiopia cup with resonant stone fruit and crisp chocolate notes throughout."
"Nano Challa Ethiopia","Tandem Coffee","United States","Medium-Light",93,"High-toned, deeply sweet. Mango, gardenia, fresh-cut pine, molasses, hazelnut in aroma and cup. Sweet-tart structure with pert, lively acidity; viscous, lightly syrupy mouthfeel. The finish is redolent with mango and hazelnut. A pretty Ethiopia coffee characterized by tropical fruit and spice-toned flowers."
"Kenya AB","Vermont Artisan Coffee & Tea","United States","Medium",94,"Roast-touched, floral-toned, richly chocolaty. Narcissus, chocolate fudge, black cherry, almond, lightly scorched mesquite in aroma and cup. Sweet-toned structure with crisp, malic acidity, suggesting green apple; full, creamy mouthfeel. The finish consolidates to chocolate fudge and black cherry with undertones of smoky mesquite. A deeply sweet Kenya cup with a developed roast profile that equally prioritizes flowers and chocolate."
"Ethiopia Hambela Natural Organic","Willoughby's Coffee & Tea","United States","Medium-Light",94,"Balanced, fruit-toned, deeply sweet. Mulberry, wine barrel, dark chocolate, sandalwood, freesia in aroma and cup. Sweet-tart structure with wine-like acidity; satiny-smooth mouthfeel. The finish leads with mulberry and dark chocolate, supported by spice-toned aromatic wood and freesia-like flowers. A spice-driven, fruit-forward natural-processed Ethiopia cup: rich, resonant, clean, deep."
"Tanzania Ngorongoro Ridge Peaberry","Flight Coffee Co.","United States","Medium-Light",95,"High-toned, richly sweet-savory. Red currant, dark chocolate, tangerine zest, hop flowers, sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Deep, flavor-saturated finish with red currant and dark chocolate carrying well into the long. A lush Tanzania cup laden with red fruit and deep chocolate tones throughout, lifted by a bright acidity."
"Ecuador Los Eucaliptos","Wonderstate Coffee","United States","Medium-Light",93,"Sweetly herb- and spice-toned. Lemongrass, ripe plum, cinnamon, baker’s chocolate, sarsaparilla in aroma and cup. Tart-leaning structure with high-toned acidity; plush, syrupy mouthfeel. The finish leads with notes of lemongrass and cinnamon in the short, with the root-beer-like sarsaparilla note returning in the long. An entertaining Ecuador coffee with an unusual profile that pleasingly suggests root beer, punctuated by bright herb and sweet-toned spice notes."
"Ecuador Pichincha Typica","Paradise Roasters","United States","Medium-Light",93,"Richly sweet-savory, spice-toned. Lemon verbena, mango, cacao nib, freesia-like flowers, almond butter in aroma and cup. Balanced, bittersweet structure with vibrant, juicy acidity; delicate, silky-smooth mouthfeel. The resonant, lingering finish centers around cocoa-toned mango and almond. An elegant, balanced Ecuador cup saturated with notes of tropical fruit and spicy flowers."
"Ecuador Finca Carolina Fausto Romo","PT's Coffee Roasting Co.","United States","Medium-Light",93,"Rich-toned, deeply sweet and complexly engaging. Black cherry, dark caramel, hazelnut, magnolia-like flowers, cedar in aroma and cup. Sweet-toned structure with round, gentle acidity; plush, syrupy mouthfeel. Caramelly finish, with hazelnut and magnolia in the foreground. An impressive Ecuador cup: big, resonant, layered with sweet stone fruit and rich nut tones."
"Geisha Pasco Oxapampa Peru","Blues Brew Coffee","Taiwan","Medium-Light",92,"Crisply sweet, spice-toned. Candied pistachio, gardenia, cedar, sugar cane, apricot in aroma and cup. Bittersweet structure with round, gentle acidity; satiny-smooth mouthfeel. The understated finish is driven by notes of nut brittle and spicy, deeply sweet flowers. An ultra-sweet Peru Geisha cup resonating rich floral and deep nut tones throughout."
"Finca Tasta Peru","Bird Rock Coffee Roasters","United States","Medium-Light",93,"Bright, juicy, sweetly and seductively tart. Blood orange zest, dried raspberry, ginger blossom, cocoa powder, sandalwood in aroma and cup. Balanced, sweet-tart structure with crisp, vibrant acidity; velvety mouthfeel. Citrus zest and dried berry notes bookend the cocoa-toned finish. A cleanly fruit-toned natural-processed Peru cup, ringing with spicy floral and rich aromatic wood notes."
"Peru La Salina","Greater Goods Coffee Roasters","United States","Medium-Light",93,"Deeply rich, sweetly savory. Fine musk, toffee, red currant, sandalwood, narcissus-like flowers in aroma and cup. Bright, sweet-savory structure with juicy acidity; satiny-smooth mouthfeel. The crisp finish consolidates to toffee and narcissus. A nuanced Peru coffee characterized by red fruit notes, rich aromatic wood, and a throughline of sweet musk-like notes."
"Bolivia Yungas Caranavi Finca Las Alasitas Peaberry","Plat Coffee Roastery","Hong Kong","Medium-Light",91,"Delicate, gently fruit- and cocoa-toned. Pomegranate, cacao nib, narcissus-like flowers, roasted pistachio, honey in aroma and cup. Sweet-tart structure with gentle, rounded acidity; silky-smooth mouthfeel. The quiet finish consolidates to cocoa-toned fruit and florals. A graceful natural-processed Geisha cup, understated and elegant in its clean fruit and deep cocoa notes."
"Ethiopia Hambela Alaka","Big Creek Coffee Roasters","United States","Medium-Light",93,"High-toned, crisply sweet-tart. Apricot, almond, maple syrup, narcissus-like flower, cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity; satiny mouthfeel. Resonant, flavor-saturated finish: apricot and narcissus in the short with cedar resurfacing in the long. A balanced, classic Ethiopia wet-processed cup: cocoa- and citrus-toned with sweet florals throughout."
"100% Kona Bourbon","Hala Tree Kona Coffee","Hawai'i","Medium-Light",93,"Richly sweet-savory, cocoa-toned. Apricot, cocoa nib, maple syrup, jasmine, hint of marjoram in aroma and cup. Sweetly savory in structure with pert acidity; plush, syrupy mouthfeel. Rich, resonant finish that leads with apricot and jasmine in the short, rounding to crisp cocoa nib in the long. An inviting cup from the classic Bourbon variety as grown in Kona, complex and sweet-savory."
"Kona Naturals","Hala Tree Kona Coffee","Hawai'i","Medium-Light",92,"Fruit-toned, richly sweet. Dried mango, coconut, freesia, honey, fir, a hint of aged grappa in aroma and cup. Sweet-toned structure with winy acidity; creamy mouthfeel. The fruit-forward character carries into the finish, where aromatic wood notes are also amplified.  A fruit-driven natural-processed Kona Typica cup with a pleasing hint of grappa-like sweet ferment."
"Rwanda Rulindo Tumba","Big Creek Coffee Roasters","United States","Medium-Light",91,"Richly sweet with savory undertones. Mulberry, rhododendron, agave syrup, oak, a hint of thyme in aroma and cup. Sweet-toned structure with round, gentle acidity; velvety-smooth mouthfeel. The quiet finish is carried by notes of mulberry, rhododendron and thyme. A rich, pleasing Rwanda coffee with berry notes, vanilla-like florals, and an appealing hint of sweet herbs."
"Guatemala Quejina","Revel Coffee","United States","Medium-Light",92,"Crisply sweet-tart, high-toned. Mandarin orange, candied violet, hazelnut, baker’s chocolate, fresh-cut fir in aroma and cup. Tart-leaning structure with brisk acidity; satiny mouthfeel. The quiet finish centered around notes of baker’s chocolate, almond and orange.  A citrus-driven, quite bright Guatemala cup with a pretty floral note akin to candied violet."
"Flight Seasonal Espresso","Red Rooster Coffee Roaster","United States","Medium-Light",94,"Evaluated as espresso. Dark chocolate, tangerine zest, black cherry, cedar, violet in aroma and small cup. Viscous, satiny mouthfeel; crisply sweet-tart finish. Chocolate and citrus zest are pleasingly amplified in three parts milk, with notes of black cherry and violet-like flowers carrying into the long finish. An espresso blend creatively comprised of both washed- and natural-processed coffees, the former bringing bright florals to the cup, the latter, deep fruit."
"Costa Rica Las Lajas Black Honey","Red Rooster Coffee Roaster","United States","Medium-Light",93,"Deeply sweet, elegantly fruit-forward. Raw honey, blackberry, sandalwood, lilac, baker's chocolate in aroma and cup. Sweet-toned structure with gentle, rounded acidity; full, syrupy mouthfeel. The resonant finish centers around blackberry and sandalwood notes, with honey as a long throughline. A crisp, richly sweet, berry-driven black honey from Costa Rica."
"Eaagads Estate Kenya","Greater Goods Coffee Roasters","United States","Medium-Light",94,"Nuanced, multi-layered, richly sweet-savory. Black currant, dark chocolate, sweet marjoram, narcissus, maple syrup in aroma and cup. Sweet-toned structure with savory underpinnings; vibrant, juicy acidity. The saturated finish consolidates to black currant, chocolate and marjoram. A beautiful Kenya cup with layers of intrigue, from the classic cocoa-toned currant note to the pleasing twist of sweetly savory herbs."
"Ethiopia Guji","States Coffee & Mercantile","United States","Medium-Light",94,"Richly sweet, spice-toned. Star jasmine, mango chutney, sandalwood, cacao nib, pink peppercorn in aroma and cup. Sweet-savory structure with crisp acidity; plush, syrupy mouthfeel. A richly drying finish leads with notes of jasmine and mango, supported by hints of incense-like sandalwood. An aromatically saturated, flavor-deep cup that hits all of the classic Ethiopia notes: fruit, florals, cocoa and aromatic wood."
"Ethiopia Yirgacheffe G1","Santos Coffee","Hawai'i","Light",94,"Multi-layered and expressive. Star jasmine, cherry, maple syrup, cocoa nib, almond in aroma and cup. Sweetly tart structure with lively acidity; full, syrupy mouthfeel. The resonant finish leads with notes of jasmine and almond in the short, with cocoa-toned cherry returning in the long. A pretty, floral-toned Ethiopia cup with particularly vibrant acidity and plush mouthfeel."
"Kenya Karindundu AA Small Lot Reserve","Dragonfly Coffee Roasters","United States","Medium-Light",97,"Lush, deeply floral, resonantly tropical. Plumeria, coconut, dark chocolate, tamarind, frankincense in aroma and cup. The structure is superbly balanced among sweet, savory and tart, with juicy-bright acidity. Plush, syrupy mouthfeel. The seemingly eternal finish sustains all of the flavor notes from the cup in ringing harmony. A perfectly structured coffee alive with aromatic intrigue. It gave us far too many positive descriptors to list. Just a few more: dried mulberry, blood orange zest, raw honey."
"Sumatra Aceh Gayo Mountain Kenawat Raisin Honey","Small Eyes Cafe","Taiwan","Medium-Light",93,"Deep, rich, pungent. Fresh cantaloupe, tangerine zest, caramelly chocolate, sandalwood, magnolia-like flowers in aroma and cup. Roundly and sweetly brisk in structure; satiny in mouthfeel. Fruit, floral and sandalwood carry into a crisply drying though sweet-toned finish. An unusual honey-processed coffee from Sumatra: graceful, balanced, quietly original."
"Ketiara Sumatra","Barrington Coffee Roasting","United States","Light",92,"Sweetly pungent, earthy. Moist, fresh-fallen leaves, orange zest, fresh-cut pine, cocoa, lily in aroma and cup. Richly tart in structure, with a savory edge. Light but buoyant mouthfeel. The finish consolidates around cocoa, orange and a deep, lily-like floral note.  Attractive choice for lovers of the traditional Sumatra wet-hulled profile: earthy, pungent, yet bright, offering bonus satisfaction for supporters of progressive, women-led cooperatives."
"Sumatra Lintong","Peach Coffee Roasters","United States","Medium",95,"Simultaneously citrusy and floral, yet deeply resonant and tobacco-toned. Cocoa, pink grapefruit zest, perique (fermented) tobacco, sandalwood, aromatic orchid in aroma and cup. Sweetly and exhilaratingly tart in structure; light, juicy mouthfeel. Grapefruit, sandalwood and flowers carry gracefully into a long, layered finish. Bright and vivacious, yet resonantly deep: a Sumatra for all seasons."
"Ethiopia Natural Guji Hambela G1 Bishan Fugu","Kakalove Cafe","Taiwan","Medium-Light",95,"Brightly sweet, deeply pungent. Fine musk, black currant, baker’s chocolate, violet, oak in aroma and cup. Sweet-toned structure with juicy acidity; crisp, lightly syrupy mouthfeel. The flavor-saturated finish consolidates around musk and currant notes with a hint of baker’s chocolate. A rich-toned, resonant, cleanly fruity natural-processed Ethiopia cup with delicate florals and sweet musky notes throughout."
"Tanzania Tarime AB","Flight Coffee Co.","United States","Medium-Light",94,"Crisply sweet-savory, balanced. Jasmine, toffee, peach, cedar, tamarind in aroma and cup. Sweet-savory structure with juicy, vibrant acidity; syrupy-smooth mouthfeel. All of the flavor and aroma notes are carried over into the finish, gently receding into the pleasing long. A high-toned yet deeply savory Tanzania cup with resonant stone fruit and spicy floral notes throughout."
"El Salvador Cerro Las Ranas Honey Espresso","Kakalove Cafe","Taiwan","Medium-Light",94,"Evaluated as espresso. Graceful, complex, balanced. Pomegranate, dark chocolate, jasmine, pink peppercorn, fresh-cut cedar in aroma and small cup. Plush, satiny mouthfeel; crisp, spiced-toned, chocolaty finish. In three parts milk, notes of dark chocolate and deep jasmine resonate, with pleasing undertones of aromatic wood. A deeply sweet, chocolaty and spice-toned El Salvador, adeptly roasted for espresso."
"Blossom Single Origin Espresso","Plat Coffee Roastery","Hong Kong","Medium-Light",93,"Evaluated as espresso. Juicy, buoyant, bright. Pineapple, sandalwood, cacao nib, magnolia, rose in aroma and small cup. Lightly syrupy, satiny in mouthfeel. Flavor consolidates and layers in a sweet, cocoa-toned finish with a continuing hint of pineapple. Delicate and crisp in three parts milk: sweet cocoa and flowers.  A light-footed, exhilaratingly bright and juicy espresso, complex as both straight shot and in short milk."
"Panama Baru Geisha Black","Kakalove Cafe","Taiwan","Medium-Light",94,"Richly sweet-savory. Passionfruit, dark chocolate, hop flowers, almond butter, wine barrel in aroma and cup. Deep sweet-savory structure with wine-like acidity; very full, syrupy mouthfeel. Crisp, richly fruit-toned finish with a throughline of dark chocolate. An intentionally ferment-toned Geisha cup with exquisite balance: notes of passionfruit on the sweet end of the spectrum and hops on the savory, with dark chocolate running through the whole."
"Kenya Safari AB Top","Plat Coffee Roastery","Hong Kong","Medium",93,"Rich, crisp and spicy. Complex aroma and flavor: blackcurrant, dried blackberry, sandalwood, blood orange zest, lavender. Deeply pungent in structure. Long, resonant finish; a cocoa hint surfaces to complicate orangy citrus and lavender-like floral notes.  Superb and classic Kenya, intense in structure, layered and resonantly intricate in aroma and flavor."
"No. 79 Blend Espresso","Kakalove Cafe","Taiwan","Medium",92,"Evaluated as espresso. Deeply sweet, chocolaty. Dark chocolate, hazelnut, vanilla, dried cherry, cedar in aroma and small cup. Buoyant, velvety mouthfeel; long, resonant cocoa and nut-toned finish. Chocolate notes take center stage in cappuccino-scaled milk, supported by dried cherry and vanilla. A balanced, expressive espresso blend with dessert-like aroma and flavor notes."
"Colombia Monteblanco Purple Caturra Natural","Old Soul Co.","United States","Light",90,"Sweet, nut-toned. Pistachio, lilac, dried lemon zest, very ripe papaya, cedar in aroma and cup. Roundly sweet-tart in structure; delicately plump in mouthfeel. Nut and floral notes carry a quietly satisfying finish. "
"Brazil Para Ela Natural","Durango Coffee Company","United States","Medium-Light",93,"Richly sweet, delicately fruit-toned. Strawberry, violet, cacao nib, cashew butter, fresh-cut cedar in aroma and cup. Balanced structure (sweet, tart, bitter) with vibrant acidity; satiny-smooth mouthfeel. Graceful, lingering finish that carries over all the flavor and aroma notes from the cup, particularly strawberry, violet and cedar. A beautiful berry-centric natural-processed coffee from Brazil, with especially high-toned acidity and deep cocoa notes throughout."
"Tumba Rwanda","Corvus Coffee Roasters","United States","Medium-Light",92,"Crisply sweet-savory, spice-toned. Cocoa powder, black cherry, sweet kabocha squash, freesia-like flowers, lemongrass in aroma and cup. Sweetly savory structure with gentle acidity; velvety-smooth mouthfeel. The resonant finish consolidates to notes of cocoa and lemongrass with a throughline of kabocha squash. An attractively savory-leaning Rwanda cup whose leading descriptor is sweet squash; this unusual but pleasing note is supported by sweet herb and spicy floral suggestions, rounded by a rich cocoa."
"Ethiopia Harrar","Jampot Poorock Abbey","United States","Medium-Dark",91,"Crisp, sweetly and richly roast-toned. Scorched oak, raisin, dark chocolate, roasted hazelnut, dried spearmint, bitter orange zest in aroma and cup. Sweetly brisk and roasty in structure; lightly syrupy in mouthfeel. The finish is drying and roast-dominated. Crisp, chocolaty, roast-toned cup, with a zesty edge."
"KonAroma Direct Trade Kona","Jampot Poorock Abbey","United States","Medium",90,"Deep, sweet, gently roasty. Orange zest, scorched cedar, cocoa, roasted cashew, a hint of lily in aroma and cup. Roasty pungent but sweet in structure; plush and lightly syrupy in mouthfeel. Chocolaty, richly drying in the finish.   A plush, smooth roast-touched Kona."
"Peru Chirinois","Wild Goose Coffee Roasters","United States","Medium-Light",92,"Balanced, deeply sweet, subtly spice-toned. Pear, almond, baker’s chocolate, wisteria, maple syrup in aroma and cup. Sweet-tart-savory structure with soft acidity; satiny-smooth mouthfeel. A gently brisk finish quietly sustains all of the aroma and flavor notes from the cup.  A beautifully balanced Peru cup: fruit, flowers and nuts in crisply sweet harmony."
"Ecuador Finca La Papaya","Willoughby's Coffee & Tea","United States","Medium-Light",92,"Crisply sweet-tart. Apricot, cacao nib, lime zest, hibiscus, almond in aroma and cup. Sweetly tart structure with pert, lively acidity; velvety-smooth mouthfeel. The sweet-toned finish consolidates to cocoa-toned apricot with a little kick from lime zest. A solid Ecuador cup, balanced and friendly, with appealing cocoa notes throughout."
"Peru Natural Utcubamba","Peach Coffee Roasters","United States","Medium-Light",91,"Fruit-forward, crisply sweet. Caramelized banana, hibiscus, cedar, pipe tobacco, rum cordial in aroma and cup. Sweet-tart structure with round, gentle acidity; velvety mouthfeel. The quiet finish leads with banana and rum suggestions in the short, rounding to sweet pipe tobacco in the long. A natural-processed Peru cup with an appealing hint of cordial-like sweet ferment animating a layering of fruit, floral and tobacco notes."
"Kenya Murang’a Githiga AA","Evie's Cafe","Taiwan","Medium-Light",94,"Very sweetly tart, floral-prominent and rich-toned. Lemon custard, red currant jam, tea rose, maple syrup and dried coconut in aroma and cup. Delightfully crisp and tart, though cohesively resonant in structure; very lightly though buoyantly syrupy in mouthfeel. The finish is pert and satisfying, with a lingering sweet crispness and a long aromatic trajectory. Though delicate and perhaps a bit bright for some palates, the integrated breadth of “tart” is reminiscent of fine desserts by the same name. An elegant example of the Kenya type."
"Borneo Sabah Arabica","Paradise Roasters","United States","Medium-Light",90,"Sweetly tart, spice-toned. Dried black cherry, lantana, pipe tobacco, allspice, cedar in aroma and cup. Tart-leaning structure with brisk acidity; plush, syrupy mouthfeel. In the quiet, gently drying finish, fruit and florals recede and savory/spice notes, specifically pipe tobacco and cedar, are amplified. The first coffee from Malaysian Borneo to be roasted for retail consumers in the U.S. and a promising new project in a region not yet known for specialty coffee."
"Colombia","Caffeic","United States","Medium",90,"Roundly pungent, buttery and chocolaty. Dark chocolate, orange zest, cedar, plum, a hint of peppercorn in aroma and cup. Crisply sweet, balanced in structure. Very light in mouthfeel, silky. Flavor consolidates in a drying though resonant finish.  A quietly seductive Colombia, organized around a pleasingly sweet chocolate note."
"D.R. Congo Muungano Co-Op","Temple Coffee Roasters","United States","Medium-Light",92,"Deeply sweet, richly drying, complexly sweet-savory. Nutella, sumac, oak, clove, loquat, hop blossom in aroma and cup. Rounded and rich though drying in structure; brisk, juicy acidity. Very full, syrupy mouthfeel. The short finish consolidates around prominent oak and sumac with hints of cocoa and fruit. The long turns rather dry, though remains resonant. Deep, resonant and pleasing. Dry, yet quite plump and juicy."
"No. 6 Espresso Blend","The Curve Coffee Roasting","Taiwan","Medium",92,"Evaluated as espresso. Bittersweet, richly pungent, chocolaty and floral. Dark chocolate, plum, cedar, magnolia in aroma and small cup. Plump, satiny mouthfeel; bittersweet and chocolaty in the finish. Chocolate and flowers dominate in three parts milk.  A roast-toned, richly bittersweet espresso with prominent chocolate character and sweet floral nuance."
"Ethiopia Sidama Shantewene","Cafe Virtuoso","United States","Medium-Light",95,"Richly fruit-toned, musky sweet. Raspberry jam, fine musk, apple brandy, hop flowers, almond in aroma and cup. Balanced, sweet-tart-savory in structure with vibrant, juicy acidity; buoyant, syrupy mouthfeel. Crisp, resonant finish with raspberry, brandy and hops carrying into the long. A clean, bright natural Sidamo cup: high-toned fruit, deep musk notes, bittersweet complexity."
"Kivu Belt Lot 32 Espresso","JBC Coffee Roasters","United States","Medium-Light",93,"Evaluated as espresso. Richly savory-leaning, deeply sweet. Tamarind, dark chocolate, sunchoke, wisteria, almond butter in aroma and small cup. Velvety-smooth mouthfeel; cocoa- and nut-toned finish. In three parts milk, sweet and savory present in particularly harmonious balance.  An impressively integrated Rwanda espresso, equally sweet and savory. Especially pleasing in milk, where chocolate and tamarind suggestions contribute to a bright, expressive cappuccino."
"Kivu Belt Lot 32 Rwanda","JBC Coffee Roasters","United States","Medium-Light",92,"Richly sweet-savory, spice-toned. Baker’s chocolate, spice box, narcissus-like flowers, almond, peach in aroma and cup. Savory-sweet structure with gentle, round acidity; full, syrupy mouthfeel. The crisp finish centers on notes of baker’s chocolate and almond with a hint of sweet flowers. A classic Rwanda cup: deeply sweet yet resonant with savory intrigue. Think cocoa-toned baking spices."
